Data,Dia da semana,Mes,Ano,Feriado,Cargo,Regime de trabalho,Salario Base,Salario Bruto,Valor_HE_por_hora,Hora_inicio,Hora_fim,qtd_HE,HE_retorno,Tipo_HE
2013-08-19,Segunda-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-20,Terça-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-21,Quarta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-22,Quinta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-23,Sexta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-24,Sábado,Agosto,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-25,Domingo,Agosto,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-26,Segunda-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-27,Terça-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-28,Quarta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-29,Quinta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-30,Sexta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-31,Sábado,Agosto,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-01,Domingo,Setembro,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-02,Segunda-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-03,Terça-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-04,Quarta-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-05,Quinta-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-06,Sexta-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-07,Sábado,Setembro,2013,Independencia do Brasil,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-08,Domingo,Setembro,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-09,Segunda-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-10,Terça-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-11,Quarta-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-12,Quinta-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-13,Sexta-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-14,Sábado,Setembro,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-15,Domingo,Setembro,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-16,Segunda-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-17,Terça-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-18,Quarta-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-19,Quinta-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-20,Sexta-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-21,Sábado,Setembro,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-22,Domingo,Setembro,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-23,Segunda-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-09-24,Terça-feira,Setembro,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
